Financial Year,URL,Source
"Financial Year 2024
      
        from bse",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0913b647-b205-4a3c-ad9b-8c493f97f972.pdf,from bse
"Financial Year 2023
      
        from bse",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=\b089df52-72ff-4b10-9c63-8375fa1f7d7e.pdf ,from bse
"Financial Year 2022
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/73198500570.pdf,from bse
"Financial Year 2021
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/68662500570_30_06_21.pdf,from bse
"Financial Year 2020
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/5005700320.pdf,from bse
"Financial Year 2019
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/5005700319.pdf,from bse
"Financial Year 2018
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/5005700318.pdf,from bse
"Financial Year 2017
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/5005700317.pdf,from bse
"Financial Year 2016
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/5005700316.pdf,from bse
"Financial Year 2015
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/5005700315.pdf,from bse
"Financial Year 2014
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/5005700314.pdf,from bse
"Financial Year 2013
      
        from nse",https://archives.nseindia.com/annual_reports/AR_792_TATAMOTORS_2012_2013_29072013120804.zip,from nse
"Financial Year 2013
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/5005700313.pdf,from bse
"Financial Year 2012
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/5005700312.pdf,from bse
"Financial Year 2011
      
        from bse",https://www.bseindia.com/bseplus/AnnualReport/500570/5005700311.pdf,from bse
Right Issue,https://www.sebi.gov.in/filings/rights-issues/apr-2015/tata-motors-limited_29517.html,
